Category,Color,Pattern,Length,Fit,ImagePath
overtop,null,null,null,null,1711917857463.png
overtop,brown,plaid,long,fit,WhatsApp Image 2024-04-08 at 00.39.41.jpeg
overtop,red,plain,long,loose,WhatsApp Image 2024-04-08 at 00.39.38.jpeg
bottom,orange,plain,short,fit,WhatsApp Image 2024-04-08 at 00.28.16 (3).jpeg
bottom,gray,plaid,short,loose,WhatsApp Image 2024-04-08 at 00.28.16 (2).jpeg
bottom,black,plain,medium,fit,WhatsApp Image 2024-04-08 at 00.28.16 (1).jpeg
bottom,green,plain,short,fit,WhatsApp Image 2024-04-08 at 00.28.16.jpeg
bottom,gray,plaid,medium,fit,WhatsApp Image 2024-04-08 at 00.28.15 (2).jpeg
bottom,purple,plain,short,loose,WhatsApp Image 2024-04-08 at 00.28.15 (1).jpeg
bottom,white,plain,short,loose,WhatsApp Image 2024-04-08 at 00.28.15.jpeg
bottom,blue,drawing,long,fit,WhatsApp Image 2024-04-08 at 00.28.14.jpeg
bottom,green,plain,long,tight,WhatsApp Image 2024-04-08 at 00.28.06.jpeg
bottom,red,plain,long,fit,WhatsApp Image 2024-04-08 at 00.28.13.jpeg
top,red,plain,short,loose,WhatsApp Image 2024-04-08 at 00.21.42 (2).jpeg
top,orange,drawing,short,fit,WhatsApp Image 2024-04-08 at 00.21.42 (1).jpeg
top,white,drawing,short,tight,WhatsApp Image 2024-04-08 at 00.21.42.jpeg
top,green,vertical-lines,short,tight,WhatsApp Image 2024-04-08 at 00.21.41.jpeg
top,brown,drawing,medium,fit,WhatsApp Image 2024-04-08 at 00.21.38.jpeg
bottom,blue,vertical-lines,long,fit,WhatsApp Image 2024-04-08 at 00.27.34 (1).jpeg
top,black,plain,long,fit,WhatsApp Image 2024-04-08 at 00.27.34.jpeg
overtop,brown,plain,long,oversized,WhatsApp Image 2024-04-08 at 00.27.12.jpeg
overtop,green,plain,long,loose,WhatsApp Image 2024-04-08 at 00.27.11 (2).jpeg
overtop,gray,plaid,long,loose,WhatsApp Image 2024-04-08 at 00.27.11 (1).jpeg
top,gray,drawing,medium,fit,WhatsApp Image 2024-04-08 at 00.27.11.jpeg
top,red,plain,long,tight,WhatsApp Image 2024-04-08 at 00.27.10 (1).jpeg
top,gray,drawing,medium,tight,WhatsApp Image 2024-04-08 at 00.27.10.jpeg
top,red,plain,medium,fit,WhatsApp Image 2024-04-08 at 00.27.09 (1).jpeg
top,purple,plain,long,loose,WhatsApp Image 2024-04-08 at 00.27.08 (1).jpeg
top,black,plain,long,tight,WhatsApp Image 2024-04-08 at 00.27.08.jpeg
top,green,plain,long,loose,WhatsApp Image 2024-04-08 at 00.27.07 (1).jpeg
top,red,drawing,long,tight,WhatsApp Image 2024-04-08 at 00.27.07.jpeg
top,green,vertical-lines,medium,fit,WhatsApp Image 2024-04-08 at 00.27.05.jpeg
top,black,horizontal-lines,long,fit,WhatsApp Image 2024-04-08 at 00.27.03.jpeg
bottom,black,plain,long,fit,WhatsApp Image 2024-04-08 at 00.26.58.jpeg
top,orange,vertical-lines,medium,loose,WhatsApp Image 2024-04-08 at 00.26.57.jpeg
bottom,white,plain,long,loose,clothingImage-1712532025539.jpeg
